Owner,Type,Card Number,Limit,Balance,CVV, Status
HK001,Mastercard,5112345678901234,1000,547,720,Active
NL002,Visa,4738129065432109,4000,1357,202,Active
AP003,Discover,6011123456789012,500,145,404,Active
AT004,Visa,4487759238758932,700,578,450,Active
EA005,Mastercard,5512345678905678,1500,279,440,Active
KA006,Visa ,4556129379102373,2000,1589,269,Active	
RO007,Discover,6011345678901234,1000,344,841,Active
SF008,Discover,6011554321098765,500,381,337,Active
LL009,Mastercard,5419876543210987,1500,1278,287,Active
CD010,Visa,4532678901298455,500,234,177,Active
ATRAN001,Discover,6011987654321098,500,125,169,Active
