First ,Last,Email,DOB,Username,Password,Checking,Checking Balance,Saving,Saving Balance
Hamed,Kseniya,Kseniya1@gmail.com ,01/20/2000,HK001,kW338bH.xS:$,389103,47231,116854,5112
Nace,Llew,Llew2@gmail.com,04/23/1990,NL002,|{/99*c5;WbN,655353,29193,433500,2258
Annet ,Padma,Annet1@gmail.com,05/26/1997,AP003,"646N0£O[Ob_",758202,28393,621878,5484
Alesia ,Tertia,TertiaA@gmail.com,09/02/2002,AT004,"iX27k6`[jN.",361781,35281,969669,2526
Edit ,Amilia,Edit3@gmail.com,12/16/2001,EA005,B6.0PE|#/c2W,693128,69051,732943,152
Kore,Asunción,Kore1@gmail.com,01/23/1986,KA006,k4pS1&7m;7!\,629192,85214,586958,5191
Ramana ,Orval,Orval1@gmail.com,02/23/1996,RO007,Om]p3YLWk=66,734774,45497,881516,7510
Steinn ,Flor,FlorS@gmail.com,07/21/1998,SF008,2)ab9=B2]A9f,672106,29855,957678,7223
Leon ,Lily,LilyLeon@gmail.com,03/04/2003,LL009,"p(mG|2c76vQ",356869,85970,644901,537
Callias,Dina,DinaC@gmail.com,06/08/2001,CD010,2[\%EUY37hw9,781759,47677,457320,3183
Anh,Tran,anh@gmail.com,12/15/2001,ATRAN001,hello,538428,3454,177308,3579
Thao,Pham,thaopham@gmail.com,03/19/2001,thaopham01,goodbye,405946,15769,290381,42199
Ngoc,Truong,ngocbaotruong@gmail.com,07/29/2003,ngoctruong03,haikhongba,425175,23456,257681,45678
Thuy,Le,thuylee@gmail.com,02/10/2001,thuylee,hanoi,785875,9782,750834,72189
Trang,Nguyen,trangnguyen@gmail.com,06/26/2001,ngtrang,xinchao,148308,12321,290927,23124
Thang,Nguyen,thangnguyen@gmail.com,04/25/2000,thangnguyen2504,tambiet,755028,10000,755028,2000
